"","x","y","inclusion.probabilities","ID"
"1",114.89387207,-34.036188965,0.00131665569453588,6418
"2",114.84137207,-33.928688965,0.00131665569453588,2742
"3",114.92137207,-33.893688965,0.000240905805829921,1584
"4",114.86887207,-34.071188965,0.000745712155108128,7598
"5",114.85387207,-34.056188965,0.000745712155108128,7082
"6",114.82137207,-33.936188965,0.00132450331125828,2989
"7",114.87387207,-34.008688965,0.000745712155108128,5475
"8",114.91387207,-33.971188965,0.000240905805829921,4216
"9",114.86137207,-33.866188965,0.00131665569453588,625
"10",114.83637207,-34.031188965,0.00132450331125828,6225
"11",114.88887207,-34.103688965,0.000745712155108128,8711
"12",114.94887207,-33.853688965,0.000745712155108128,235
"13",114.80637207,-34.016188965,0.000240905805829921,5703
"14",114.85887207,-34.086188965,0.000745712155108128,8104
"15",114.83137207,-33.873688965,0.00131665569453588,868
"16",114.93637207,-34.146188965,0.00131665569453588,10175
"17",114.88387207,-34.038688965,0.000745712155108128,6499
"18",114.90387207,-34.003688965,0.00132450331125828,5317
"19",114.85137207,-33.896188965,0.000745712155108128,1641
"20",114.93137207,-33.861188965,0.00132450331125828,483
"21",114.91637207,-34.098688965,0.00131665569453588,8552
"22",114.83887207,-34.063688965,0.00132450331125828,7331
"23",114.94387207,-33.956188965,0.000745712155108128,3718
"24",114.89137207,-33.848688965,0.00132450331125828,42
