"","X","No.","Latitude","Longitude","Ground.","Fish.","Ledge","Notes","X.1","No..1","Latitude.1","Longitude.1","Ground..1","Fish..1","Ledge.1","Notes.1","point.ID","poly.ID","f","ID","GB.SW_250mBathy"
"1",1,1,-34.0849666666667,114.928,"","","","",1,1,-34.0849666666667,114.928,"","","","",1,1,"In",1,-44
"2",2,2,-34.0695666666667,114.918466666667,"","","","",2,2,-34.0695666666667,114.918466666667,"","","","",2,1,"In",2,-47
"3",3,4,-34.0547333333333,114.9111,"","","","",3,4,-34.0547333333333,114.9111,"","","","",3,1,"In",3,-46
"4",4,5,-34.06605,114.84,"","","","",4,5,-34.06605,114.84,"","","","",4,1,"In",4,-44
"6",6,7,-34.0543666666667,114.839066666667,"","","","",6,7,-34.0543666666667,114.839066666667,"","","","",6,1,"In",6,-44
"7",7,8,-34.0924,114.866366666667,"yes","no","","",7,8,-34.0924,114.866366666667,"yes","no","","",7,1,"In",7,-42
"8",8,9,-34.0983,114.866583333333,"yes","no","","",8,9,-34.0983,114.866583333333,"yes","no","","",8,1,"In",8,-42
"9",9,10,-34.0668666666667,114.793983333333,"","","","",9,10,-34.0668666666667,114.793983333333,"","","","",9,1,"In",9,-56
"10",10,11,-34.06155,114.775366666667,"","","yes","Ledge running north-south",10,11,-34.06155,114.775366666667,"","","yes","Ledge running north-south",10,1,"In",10,-62
"11",11,12,-34.06335,114.766583333333,"","no ","yes","ledge",11,12,-34.06335,114.766583333333,"","no ","yes","ledge",11,1,"In",11,-76
"12",12,13,-34.1387166666667,114.736083333333,"","yes","","",12,13,-34.1387166666667,114.736083333333,"","yes","","",12,1,"In",12,-127
"13",13,14,-34.1299333333333,114.73585,"","yes","","",13,14,-34.1299333333333,114.73585,"","yes","","",13,1,"In",13,-125
"14",14,15,-34.1288333333333,114.734133333333,"","no ","","",14,15,-34.1288333333333,114.734133333333,"","no ","","",14,1,"In",14,-126
"15",15,16,-34.1243166666667,114.742016666667,"","no ","","",15,16,-34.1243166666667,114.742016666667,"","no ","","",15,1,"In",15,-121
"16",16,17,-34.1130166666667,114.725133333333,"","yes","","",16,17,-34.1130166666667,114.725133333333,"","yes","","",16,1,"In",16,-127
"17",17,18,-34.1101666666667,114.73165,"","no ","","",17,18,-34.1101666666667,114.73165,"","no ","","",17,1,"In",17,-125
"18",18,19,-34.0971833333333,114.734483333333,"","no ","","",18,19,-34.0971833333333,114.734483333333,"","no ","","",18,1,"In",18,-121
"19",19,20,-34.0984,114.75005,"","no ","","",19,20,-34.0984,114.75005,"","no ","","",19,1,"In",19,-113
"20",20,21,-34.0883333333333,114.7545,"","yes","","",20,21,-34.0883333333333,114.7545,"","yes","","",20,1,"In",20,-106
"21",21,22,-34.0648166666667,114.726633333333,"","yes","","",21,22,-34.0648166666667,114.726633333333,"","yes","","",21,1,"In",21,-119
"22",22,23,-34.0667666666667,114.718833333333,"","no ","","",22,23,-34.0667666666667,114.718833333333,"","no ","","",22,1,"In",22,-123
"23",23,24,-34.0691,114.710666666667,"","yes","","",23,24,-34.0691,114.710666666667,"","yes","","",23,1,"In",23,-127
"24",24,25,-34.0844,114.6744,"","no ","","",24,25,-34.0844,114.6744,"","no ","","",24,1,"In",24,-138
"25",25,26,-34.1026166666667,114.640716666667,"","yes","","",25,26,-34.1026166666667,114.640716666667,"","yes","","",25,1,"In",25,-142
"28",28,29,-34.1467,114.484066666667,"","yes","","",28,29,-34.1467,114.484066666667,"","yes","","",28,1,"In",28,NA
"29",29,30,-34.1424833333333,114.48275,"","no ","","",29,30,-34.1424833333333,114.48275,"","no ","","",29,1,"In",29,NA
"36",36,37,-34.0724666666667,114.47755,"","yes","","",36,37,-34.0724666666667,114.47755,"","yes","","",36,1,"In",36,-232
"37",37,38,-34.0648,114.476916666667,"","yes","","",37,38,-34.0648,114.476916666667,"","yes","","",37,1,"In",37,-237
"38",38,39,-34.1430333333333,114.537783333333,"","no ","","Outside marine park",38,39,-34.1430333333333,114.537783333333,"","no ","","Outside marine park",38,1,"In",38,-174
"39",39,40,-34.0146166666667,114.8785,"","yes","","limp w multi beam - flat coral",39,40,-34.0146166666667,114.8785,"","yes","","limp w multi beam - flat coral",39,2,"Out",39,-42
"40",40,41,-34.0124166666667,114.891,"","yes","","",40,41,-34.0124166666667,114.891,"","yes","","",40,2,"Out",40,-42
"41",41,42,-34.01175,114.887916666667,"","no ","","",41,42,-34.01175,114.887916666667,"","no ","","",41,2,"Out",41,-42
"49",49,50,-34.0294666666667,114.762383333333,"","","","around 60 m depth ledge around 5 miles long",49,50,-34.0294666666667,114.762383333333,"","","","around 60 m depth ledge around 5 miles long",49,2,"Out",49,-73
"55",55,56,-34.0310333333333,114.6001,"","no","","used to be lots of fish",55,56,-34.0310333333333,114.6001,"","no","","used to be lots of fish",55,2,"Out",55,-143
"56",56,57,-34.0327333333333,114.543883333333,"","no","","used to be lots of fish, then keep heading out to deep areas, the next spots are around 230-260 m",56,57,-34.0327333333333,114.543883333333,"","no","","used to be lots of fish, then keep heading out to deep areas, the next spots are around 230-260 m",56,2,"Out",56,-147
