"","X","No.","Latitude","Longitude","Ground.","Fish.","Ledge","Notes","point.ID","poly.ID","f","ID","GB.SW_250mBathy","optional"
"1",1,1,-34.0849666666667,114.928,"","","","",1,1,"In",1,-44,TRUE
"2",2,2,-34.0695666666667,114.918466666667,"","","","",2,1,"In",2,-47,TRUE
"3",3,4,-34.0547333333333,114.9111,"","","","",3,1,"In",3,-46,TRUE
"4",4,5,-34.06605,114.84,"","","","",4,1,"In",4,-44,TRUE
"6",6,7,-34.0543666666667,114.839066666667,"","","","",6,1,"In",5,-44,TRUE
"7",7,8,-34.0924,114.866366666667,"yes","no","","",7,1,"In",6,-42,TRUE
"8",8,9,-34.0983,114.866583333333,"yes","no","","",8,1,"In",7,-42,TRUE
"9",9,10,-34.0668666666667,114.793983333333,"","","","",9,1,"In",8,-56,TRUE
"10",10,11,-34.06155,114.775366666667,"","","yes","Ledge running north-south",10,1,"In",9,-62,TRUE
"11",11,12,-34.06335,114.766583333333,"","no ","yes","ledge",11,1,"In",10,-76,TRUE
"12",12,13,-34.1387166666667,114.736083333333,"","yes","","",12,1,"In",11,-127,TRUE
"13",13,14,-34.1299333333333,114.73585,"","yes","","",13,1,"In",12,-125,TRUE
"14",14,15,-34.1288333333333,114.734133333333,"","no ","","",14,1,"In",13,-126,TRUE
"15",15,16,-34.1243166666667,114.742016666667,"","no ","","",15,1,"In",14,-121,TRUE
"16",16,17,-34.1130166666667,114.725133333333,"","yes","","",16,1,"In",15,-127,TRUE
"17",17,18,-34.1101666666667,114.73165,"","no ","","",17,1,"In",16,-125,TRUE
"18",18,19,-34.0971833333333,114.734483333333,"","no ","","",18,1,"In",17,-121,TRUE
"19",19,20,-34.0984,114.75005,"","no ","","",19,1,"In",18,-113,TRUE
"20",20,21,-34.0883333333333,114.7545,"","yes","","",20,1,"In",19,-106,TRUE
"21",21,22,-34.0648166666667,114.726633333333,"","yes","","",21,1,"In",20,-119,TRUE
"22",22,23,-34.0667666666667,114.718833333333,"","no ","","",22,1,"In",21,-123,TRUE
"23",23,24,-34.0691,114.710666666667,"","yes","","",23,1,"In",22,-127,TRUE
"24",24,25,-34.0844,114.6744,"","no ","","",24,1,"In",23,-138,TRUE
"25",25,26,-34.1026166666667,114.640716666667,"","yes","","",25,1,"In",24,-142,TRUE
"29",29,30,-34.1424833333333,114.48275,"","no ","","",29,1,"In",26,-266,TRUE
"30",30,31,-34.1334,114.480516666667,"","no ","","",30,1,"In",27,-229,TRUE
"31",31,32,-34.12925,114.478116666667,"","no ","","",31,1,"In",28,-240,TRUE
"32",32,33,-34.12345,114.478,"","yes","","",32,1,"In",29,-248,TRUE
"33",33,34,-34.1197333333333,114.478683333333,"","no ","","",33,1,"In",30,-243,TRUE
"34",34,35,-34.1121333333333,114.47875,"","yes","","",34,1,"In",31,-225,TRUE
"35",35,36,-34.0958166666667,114.47515,"","yes","","",35,1,"In",32,-240,TRUE
"36",36,37,-34.0724666666667,114.47755,"","yes","","",36,1,"In",33,-232,TRUE
"37",37,38,-34.0648,114.476916666667,"","yes","","",37,1,"In",34,-237,TRUE
"38",38,39,-34.1430333333333,114.537783333333,"","no ","","Outside marine park",38,1,"In",35,-174,TRUE
"39",39,40,-34.0146166666667,114.8785,"","yes","","limp w multi beam - flat coral",39,2,"Out",36,-42,TRUE
"40",40,41,-34.0124166666667,114.891,"","yes","","",40,2,"Out",37,-42,TRUE
"41",41,42,-34.01175,114.887916666667,"","no ","","",41,2,"Out",38,-42,TRUE
"49",49,50,-34.0294666666667,114.762383333333,"","","","around 60 m depth ledge around 5 miles long",49,2,"Out",39,-73,TRUE
"55",55,56,-34.0310333333333,114.6001,"","no","","used to be lots of fish",55,2,"Out",40,-143,TRUE
"56",56,57,-34.0327333333333,114.543883333333,"","no","","used to be lots of fish, then keep heading out to deep areas, the next spots are around 230-260 m",56,2,"Out",41,-147,TRUE
"57",57,58,-34.0481833333333,114.468083333333,"","yes","","",57,2,"Out",42,-254,TRUE
"58",58,59,-34.0250833333333,114.465683333333,"","no","","used to be lots of fish",58,2,"Out",43,-255,TRUE
